fold,model,rmse,year1_rmse,year2_rmse
2013,submission02,1.7243165364415882,1.7235339296920031,1.7250987881545423
2013,modes_0.3,1.7343211091205908,1.7216320803334575,1.746917971471255
2013,modes_3,1.726668897148697,1.7210495319758303,1.7322700335822847
2013,seasonal_0.3,1.7228733221472363,1.7167343917820077,1.7289904558458875
2013,seasonal_3,1.716733241608419,1.7151276900114563,1.718337293037274
2013,blend25_modes_0.3,1.714579957559458,1.7109117582657047,1.718240325786047
2013,blend50_modes_0.3,1.7130062564195954,1.7063636663255632,1.7196231875935306
2013,blend25_modes_3,1.7210351986264676,1.7193029454432562,1.722765710017654
2013,blend50_modes_3,1.7203333087895951,1.71747512336271,1.7231867534577203
2013,blend25_seasonal_0.3,1.7172554336912589,1.7148629881618032,1.7196445507479383
2013,blend50_seasonal_0.3,1.7146534990268445,1.710823870454434,1.7184745932754757
2013,blend25_seasonal_3,1.7193521080589134,1.7183306466430859,1.7203729629880873
2013,blend50_seasonal_3,1.716427677606444,1.7151888648999745,1.7176655968581425
2013,joint25_modes_seasonal,1.7097996147905568,1.70473757662729,1.7148467104411362
2015,submission02,1.8183491287680855,1.7930692605821101,1.8432823264326157
2015,modes_0.3,1.8095240629146365,1.7598134964384824,1.857905036940034
2015,modes_3,1.8036769409486018,1.7942384751428833,1.8130662726266662
2015,seasonal_0.3,1.794078227191805,1.7489421679580874,1.8381062710587341
2015,seasonal_3,1.7886370086160013,1.7629378939433118,1.8139720723540136
2015,blend25_modes_0.3,1.7955374540498026,1.7704673868294611,1.8202622695547341
2015,blend50_modes_0.3,1.786375971754253,1.7572748590574412,1.8150105494587498
2015,blend25_modes_3,1.8087067521393636,1.788316556281471,1.8288696303997811
2015,blend50_modes_3,1.8030266573549754,1.786925125537209,1.8189856651411913
2015,blend25_seasonal_0.3,1.8007054051642333,1.7718726576151247,1.8290837043643704
2015,blend50_seasonal_0.3,1.7907100868461023,1.7573544658370843,1.823455651138027
2015,blend25_seasonal_3,1.8063154219082684,1.781624928455307,1.8306729421592254
2015,blend50_seasonal_3,1.797324164417095,1.7727641779166219,1.821553038890392
2015,joint25_modes_seasonal,1.7831970531069485,1.7523129800065889,1.8135552598470883
2017,submission02,1.8277898236513908,1.7586331851047798,1.894423553257133
2017,modes_0.3,1.8507043029532493,1.7814514781779907,1.9174575522907402
2017,modes_3,1.8378395975701234,1.7752535147889486,1.898363434915167
2017,seasonal_0.3,1.8554636818106431,1.7642372048922406,1.9424103670209933
2017,seasonal_3,1.8408593461937004,1.7683030550930865,1.9106623381136323
2017,blend25_modes_0.3,1.8219136517313002,1.7502299880957404,1.8908817248839618
2017,blend50_modes_0.3,1.8238062002368796,1.7512679897441976,1.8935676750890857
2017,blend25_modes_3,1.8265566983771129,1.7588845675847262,1.8918096687259236
2017,blend50_modes_3,1.8278257779106282,1.7617487709626838,1.8915959972469436
2017,blend25_seasonal_0.3,1.8277776867699485,1.7519702909951422,1.9005637700373548
2017,blend50_seasonal_0.3,1.8324150149181113,1.7506836800872723,1.9106533505769092
2017,blend25_seasonal_3,1.828255607545036,1.7579225649109267,1.8959813788159228
2017,blend50_seasonal_3,1.8305948374807255,1.7593018319207399,1.8992135167543687
2017,joint25_modes_seasonal,1.8239208365812576,1.7461655542185592,1.898494217397341
2019,submission02,1.8079182660621382,1.772178512138394,1.8429650660382046
2019,modes_0.3,1.8468966313754023,1.8046997675818932,1.8881507044887804
2019,modes_3,1.8324095682304444,1.7874456814774582,1.8762962418692182
2019,seasonal_0.3,1.8133224798604703,1.7675550161393419,1.8579628889876416
2019,seasonal_3,1.8119644738439482,1.7668390865703438,1.8559930363857577
2019,blend25_modes_0.3,1.8035357207498206,1.766048167439503,1.8402597812060997
2019,blend50_modes_0.3,1.808648231677084,1.7694867538429335,1.8469795558889341
2019,blend25_modes_3,1.8098997114702673,1.7717776382439638,1.8472352129003373
2019,blend50_modes_3,1.814658607697936,1.774198411298929,1.8542361560299647
2019,blend25_seasonal_0.3,1.7999839121948151,1.7623632593637613,1.8368342087311647
2019,blend50_seasonal_0.3,1.7982384768414934,1.7583038589378435,1.8373053036528026
2019,blend25_seasonal_3,1.8055298569546154,1.7676857982545064,1.8425968217052902
2019,blend50_seasonal_3,1.8054092059761842,1.7652938837961583,1.8446523536642312
2019,joint25_modes_seasonal,1.7989078817800024,1.7590428018017226,1.8379084731536488
