fold,model,rmse,year1_rmse,year2_rmse
2013,submission02,1.7243165364415882,1.7235339296920031,1.7250987881545423
2013,modes_0.3,1.7343211091205908,1.7216320803334575,1.746917971471255
2013,modes_3,1.726668897148697,1.7210495319758303,1.7322700335822847
2013,seasonal_0.3,1.7228733221472363,1.7167343917820077,1.7289904558458875
2013,seasonal_3,1.716733241608419,1.7151276900114563,1.718337293037274
2013,blend25_modes_0.3,1.714579957559458,1.7109117582657047,1.718240325786047
2013,blend50_modes_0.3,1.7130062564195954,1.7063636663255632,1.7196231875935306
2013,blend25_modes_3,1.7210351986264676,1.7193029454432562,1.722765710017654
2013,blend50_modes_3,1.7203333087895951,1.71747512336271,1.7231867534577203
2013,blend25_seasonal_0.3,1.7172554336912589,1.7148629881618032,1.7196445507479383
2013,blend50_seasonal_0.3,1.7146534990268445,1.710823870454434,1.7184745932754757
2013,blend25_seasonal_3,1.7193521080589134,1.7183306466430859,1.7203729629880873
2013,blend50_seasonal_3,1.716427677606444,1.7151888648999745,1.7176655968581425
2013,joint25_modes_seasonal,1.7097996147905568,1.70473757662729,1.7148467104411362
