fold,model,rmse,year1_rmse,year2_rmse
2015,submission02,1.8183491287680855,1.7930692605821101,1.8432823264326157
2015,modes_0.3,1.8095240629146365,1.7598134964384824,1.857905036940034
2015,modes_3,1.8036769409486018,1.7942384751428833,1.8130662726266662
2015,seasonal_0.3,1.794078227191805,1.7489421679580874,1.8381062710587341
2015,seasonal_3,1.7886370086160013,1.7629378939433118,1.8139720723540136
2015,blend25_modes_0.3,1.7955374540498026,1.7704673868294611,1.8202622695547341
2015,blend50_modes_0.3,1.786375971754253,1.7572748590574412,1.8150105494587498
2015,blend25_modes_3,1.8087067521393636,1.788316556281471,1.8288696303997811
2015,blend50_modes_3,1.8030266573549754,1.786925125537209,1.8189856651411913
2015,blend25_seasonal_0.3,1.8007054051642333,1.7718726576151247,1.8290837043643704
2015,blend50_seasonal_0.3,1.7907100868461023,1.7573544658370843,1.823455651138027
2015,blend25_seasonal_3,1.8063154219082684,1.781624928455307,1.8306729421592254
2015,blend50_seasonal_3,1.797324164417095,1.7727641779166219,1.821553038890392
2015,joint25_modes_seasonal,1.7831970531069485,1.7523129800065889,1.8135552598470883
