fold,model,rmse,year1_rmse,year2_rmse
dev_2017_2018,ridge_0.1_clim_60y,1.84821131380938,1.7660780339399458,1.9268467762177677
dev_2017_2018,ridge_1_clim_60y,1.8411170491248678,1.7691869182349789,1.9103407092722335
dev_2017_2018,ridge_10_clim_60y,1.8440322389121266,1.7864299455835553,1.8998889035459092
dev_2019_2020,ridge_0.1_clim_60y,1.8128715188297024,1.7665699821546137,1.8580195870114158
dev_2019_2020,ridge_1_clim_60y,1.808886874438267,1.7620690846060976,1.8545231166274292
dev_2019_2020,ridge_10_clim_60y,1.8318618936004392,1.7860947266278733,1.8765131552863883
