fold,model,rmse,year1_rmse,year2_rmse
dev_2017_2018,half_ridge_0.1_clim_60y,1.833584117870348,1.7693702384351424,1.8956240117577992
dev_2017_2018,half_ridge_1_clim_60y,1.8371980237839873,1.7785941732908312,1.8939894202258576
dev_2017_2018,half_ridge_10_clim_60y,1.8440324928053347,1.7930207199038646,1.8936706067949465
dev_2019_2020,half_ridge_0.1_clim_60y,1.812848782336501,1.7724568264260967,1.8523601738575026
dev_2019_2020,half_ridge_1_clim_60y,1.8194922367676936,1.7783825348728484,1.8596934045629756
dev_2019_2020,half_ridge_10_clim_60y,1.8374868551740473,1.7967412435059351,1.8773483400156632
